FolderNumber,Contents
285,"Holland, Sir Henry, bart., 1788-1873. 7 ALS and 1 AL to T. J. Pettigrew"
286,"Hood, Sir Alexander Bateman Periam Fuller-Acland-Hood, bart., 1819-1892. AL to T. J. Pettigrew"
287,"Houghton, Richard Monckton Milnes, 1st Baron, 1809-1885. 6 ALS to T. J. Pettigrew"
288,"Hugo, Thomas, 1820-1876. 3 ALS to T. J. Pettigrew"
289,"Hume, Abraham, 1814-1884. 4 ALS to T. J. Pettigrew"
290,"Hunter, Joseph, 1783-1861. 2 ALS to T. J. Pettigrew"
291,"Husenbeth, Frederick Charles, 1796-1872. 3 ALS to T. J. Pettigrew and 1 ALS to the Council of the B.A.A."
292,"Huskisson, William, 1770-1830. AL to T. J. Pettigrew"
293,"Irving, George Vere, 1815-1869. 2 ALS to T. J. Pettigrew"
294,"Isaacson, Stephen, 1798-1849. 4 ALS to T. J. Pettigrew"
295,"Jackson, John, Bp. of London, 1811-1885. AL to T. J. Pettigrew"
296,"Jerden, William, 1782-1869. ALS to T. J. Pettigrew"
297,"Jewitt, Llewellyn Frederick William, 1816-1886. 2 ALS to T. J. Pettigrew"
298,"Johnson, James, 1777-1845. ALS to T. J. Pettigrew"
299,"Jones, Harry Longueville, 1806-1870. ALS to T. J. Pettigrew"
300,"Jones, Thomas, 1810-1875. ALS to T. J. Pettigrew"
301,"Jones, William Henry Rich, 1817-1885. 4 ALS to T. J. Pettigrew"
302,"Julien, [Marc Antoine?]. AL to T. J. Pettigrew"
303,"Just, John, 1797-1852. 4 ALS to T. J. Pettigrew"
304,"Kater, Henry, 1777-1835. ALS and AL to T. J. Pettigrew"
305,"Kean, Charles John, 1811-1868. 1 ALS to James Robinson Planché (1796-1880)"
306,"Keate, Robert, 1777-1857. 2 ALS to T. J. Pettigrew"
307,"Kelly, Patrick, 1756-1842. ALS to T. J. Pettigrew"
308,"Kemble, Charles, 1775-1854. 1 ALS to T.J. Pettigrew."
309,"Kempe, Alfred John, 1785?-1846. ALS to T. J. Pettigrew"
310,"Kerrison, Robert Masters, 8 ALS to T. J. Pettigrew"
311,"King, Richard, 1811?-1876. ALS to T. J. Pettigrew"
312,"King, Walker, Bp. of Rochester, 1732-1827. ALS to T. J. Pettigrew"
313,"Kingdom, John. ALS to William Salisbury"
314,"Kinnaird, Douglas James William, 1788-1830. AL to T. J. Pettigrew"
315,"Knightley, Selina Mary (Hervey), Lady. AL to T. J. Pettigrew"
316,"Knox, Vicesimus, d. 1855. ALS to J. G. Children"
317,"Konig, Charles Dietrich Eberhard, 1774-1851. 5 ALS to T. J. Pettigrew"
318,2 ALS and 1 AL (in Italian) to Mr. Albano
319,LS to T. J. Pettigrew
320,"Lamb, Lady Caroline (Ponsonby), 1785-1828. AL to T. J. Pettigrew"
321,"Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie, 1st Baron, 1816-1890. ALS to T. J. Pettigrew"
322,"Lane, Hunter, d. 1853. 2 ALS to T. J. Pettigrew"
323,"Latham, John, 1761-1843. ASL to T. J. Pettigrew"
324,"Law, George Henry, Bp. of Bath and Wells, 1761-1845. 2 AL to T. J. Pettigrew"
325,"Lawrence, Sir William, 1783-1867. ALS to T. J. Pettigrew"
326,"Leach, William Elford, 1790-1836. AL to T. J. Pettigrew"
327,"Leake, William Martin, 1777-1860. 2 ALS to T.J. Pettigrew and 1 calling card."
